Person ID,Association Creation Date,Postal Code
P0000646257,1/16/24,14085
P0000650616,8/24/23,14212
P0000658878,1/9/24,14221
P0000660046,4/18/22,14111
P0000660557,12/4/24,14223
P0000661110,2/9/23,14211
P0000664482,11/4/24,14219
P0000666254,9/10/22,14215
P0000667141,1/3/22,14150
P0000669917,11/11/24,14213
P0000670395,9/10/22,14220
P0000671846,11/4/24,14006
P0000679481,11/11/24,14034
P0000685200,3/18/25,14225
P0000693118,2/9/23,14206
P0000701381,8/24/23,14212
P0000701741,3/30/23,14225
P0000703793,9/15/23,14213
P0000705938,2/2/22,14206
P0000707469,10/7/24,14057
P0000711061,2/20/11,14210
P0000711977,1/12/25,14227
P0000719101,1/16/24,14150
P0000721810,2/18/25,14215
P0000722162,1/7/25,14225
P0000726740,11/5/24,14224
P0000730409,3/4/25,14213
P0000730431,9/12/23,14215
P0000732069,8/24/23,14091
P0000733637,11/3/24,14217
P0000736409,5/12/11,14150
P0000736679,12/30/24,14215
P0000740442,1/16/24,14215
P0000740590,3/11/25,14120
P0000741077,2/18/25,14207
P0000743319,2/20/23,14217
P0000750123,12/22/20,14215
P0000750563,2/9/23,14224
P0000756166,7/2/24,14215
P0000756753,2/20/23,14006
P0000756847,11/11/24,14226
P0000759699,1/12/25,14211
P0000760283,2/9/23,14214
P0000762150,11/11/24,14228
P0000765991,3/22/23,14223
P0000766606,2/9/23,14218
P0000766685,3/9/22,14218
P0000767478,9/20/22,14086
P0001280030,9/10/22,14213
P0001290774,11/12/24,14228
P0001309541,11/5/24,14227
P0001801904,11/10/24,14207
P0002002202,2/21/23,14218
P0002055428,2/9/23,14226
P0002649378,11/11/24,14001
P0002651850,1/12/25,14206
P0003163246,10/16/23,14223
P0003349571,6/28/23,14213
P0003540826,1/12/25,14206
P0003660219,1/30/23,14212
P0003896756,1/20/22,14221
P0004048946,3/23/23,14206
P0005053277,1/12/25,14225
P0005075369,11/11/24,14215
P0005077691,1/12/25,14206
P0005271720,9/10/22,14215
P0005715990,11/3/24,14213
P0006690748,1/12/25,14206
P0006733575,2/8/24,14215
P0006783269,1/8/21,14212
P0006826204,9/10/22,14207
P0006840448,1/28/25,14207
P0007356434,2/21/23,14075
P0007496787,11/10/24,14086
P0007513167,11/3/24,14210
P0007531017,8/24/23,14206
P0007841868,3/9/22,14211
P0007878071,2/13/10,14215
P0008313003,3/26/24,14213
P0008333094,11/10/24,14206
P0008947944,1/16/24,14206
P0009030159,10/12/23,14212
P0009334907,12/28/24,14052
P0009373812,9/16/10,14201
P0009492730,9/15/23,14220
P0009531098,11/12/24,14043
P0009989479,11/12/24,14215
P0010481389,11/10/24,14218
P0010498316,1/12/25,14212
P0010498639,2/2/22,14206
P0010517857,11/12/24,14218
P0010529145,4/9/11,14215
P0010620468,1/16/24,14215
P0010631946,2/21/23,14225
P0010911748,6/21/11,14201
P0010983461,7/5/11,14225
P0011013111,11/11/24,14094
P0011128222,11/11/24,14150
P0011223300,2/9/23,14150
P0011425588,11/12/24,14207
P0011649173,11/21/24,14211
P0011741659,11/4/24,14210
P0011973069,11/11/24,14204
P0012189484,7/27/23,14150
P0012894624,6/6/22,14224
P0012980484,9/15/23,14215
P0013221587,11/4/24,14120
P0013625888,11/11/24,14211
P0014062108,11/4/24,14215
P0014319205,11/11/24,14224
P0014971920,11/11/24,14207
P0015107213,11/12/24,14211
P0015616705,6/13/22,14225
P0015715449,2/9/23,14210
P0015833135,11/11/24,14211
P0016153530,10/19/23,14150
P0016253093,12/30/24,14043
P0016407237,9/8/22,14210
P0016504006,9/25/24,14215
P0016564106,1/16/24,14212
P0016696891,12/16/24,14215
P0016696912,11/12/24,14210
P0016811374,11/12/24,14215
P0017186373,1/12/25,14224
P0017687219,1/12/25,14210
P0017745947,1/3/22,14201
P0017750994,2/4/25,14210
P0017978281,11/11/24,14206
P0018162603,2/9/23,14204
P0018187439,1/22/22,14224
P0018296718,2/4/25,14202
P0018719745,2/18/25,14211
P0019365239,2/21/23,14210
P0019461543,2/18/25,14215
P0019559107,1/12/25,14227
P0021036761,11/30/23,14043
P0021787562,2/4/25,14150
P0021805443,11/12/24,14215
P0021817332,11/12/24,14055
P0021830879,7/27/23,14210
P0021945935,2/21/23,14215
P0022423119,11/4/24,14224
P0022855928,11/5/24,14220
P0022992781,8/13/19,14211
P0022992809,8/25/15,14218
P0023275752,6/13/22,14206
P0023952340,1/16/24,14218
P0023992250,11/12/24,14215
P0024091915,10/16/23,14220
P0024578904,9/22/22,14215
P0025045600,6/7/23,14202
P0025106092,10/16/23,14225
P0025135564,1/9/24,14052
P0025851279,2/21/23,12533
P0026034562,6/7/21,14224
P0026133172,9/8/22,14225
P0026277709,9/15/23,14224
P0026858589,9/10/22,14215
P0027068055,6/13/22,14217
P0027600545,11/5/24,14225
P0027659457,11/4/24,14224
P0027662587,7/27/23,14218
P0027975042,11/10/24,14043
P0028058362,7/27/23,14210
P0028126736,9/26/24,14001
P0028207841,1/16/24,14221
P0028897074,1/14/25,14207
P0029368324,3/11/22,14150
P0029387321,12/2/17,14086
P0029569005,8/24/23,14206
P0029656371,3/4/25,14206
P0029886219,11/4/24,14206
P0029902973,3/11/25,14075
P0030038224,7/20/23,14206
P0030370635,10/5/21,14215
P0030414747,2/21/23,14208
P0030964377,9/15/23,14215
P0031277171,11/4/24,14216
P0031627121,10/16/23,14227
P0031707662,3/9/22,14224
P0031787497,3/23/23,14218
P0031795263,11/11/24,14206
P0031928994,5/11/22,14227
P0031954388,3/11/25,14206
P0031982099,1/16/24,14211
P0032093100,6/13/22,14211
P0032299551,11/11/24,14201
P0032314107,3/4/25,14211
P0032625373,10/12/23,14219
P0032627318,9/15/23,14224
P0032645868,3/4/25,14215
P0032700108,3/25/25,14222
P0032782352,1/14/25,14211
P0032886258,1/16/24,14043
P0033255842,9/20/22,14075
P0033360184,11/4/24,14207
P0033402317,11/3/24,14215
P0033471072,10/6/24,14219
P0033532665,1/9/24,14215
P0033713084,1/3/22,14204
P0033724938,11/11/24,14052
P0033870821,11/11/24,14215
P0033871323,4/18/22,14213
P0033921653,11/30/23,14214
P0033940185,4/26/21,14206
P0034298010,2/4/25,14207
P0034334320,1/7/25,14206
P0034782316,4/14/21,14207
P0034826783,5/13/25,14225
P0035467611,12/22/20,14213
P0035468154,3/30/23,14206
P0036439309,3/18/24,14220
P0036459223,3/30/23,14206
P0036493885,2/20/23,14211
P0036621378,12/4/24,14227
P0036711712,8/24/23,14210
P0037018363,2/9/21,14212
P0037044855,4/15/25,14215
P0037047383,6/13/22,14215
P0037050544,6/6/22,14204
P0037087822,12/22/20,14212
P0037231432,4/4/25,14212
P0037287349,11/23/20,14219
P0037409567,2/21/23,14227
P0037429881,1/7/25,14215
P0037451491,12/22/20,14212
P0037451654,12/22/20,14207
P0037551209,10/6/24,14301
P0037562485,11/10/24,14211
P0037591926,1/16/24,14210
P0038011457,3/16/21,14224
P0038015761,11/4/24,14215
P0038023794,9/15/23,14220
P0038036135,4/6/21,14207
P0038066715,3/26/21,14206
P0038371825,11/10/24,14215
P0038378079,2/21/23,14207
P0038440950,4/19/21,14218
P0038443782,3/3/25,
P0038548732,3/26/24,14215
P0038567024,5/12/21,14210
P0038706553,10/16/23,14204
P0038788999,6/19/21,14207
P0038789027,6/19/21,14001
P0038789041,6/19/21,14001
P0038800012,9/20/22,14213
P0038820103,11/3/24,14206
P0038839050,2/9/23,14215
P0038839106,9/8/22,14075
P0038872897,3/11/25,14220
P0038933051,11/11/24,14215
P0038953507,11/3/24,14043
P0038978784,2/9/23,14204
P0038980596,11/12/24,14207
P0039031190,11/10/24,14040
P0039099172,3/9/22,14224
P0039242302,1/5/22,14218
P0039244452,2/21/23,14219
P0039267415,9/10/22,14220
P0039327164,9/10/22,14150
P0039330945,9/8/22,14213
P0039485497,1/16/24,14206
P0039548355,3/23/23,14206
P0039669033,9/20/22,14213
P0039669075,11/17/21,14206
P0039722813,11/11/24,14206
P0039772132,3/4/25,14218
P0039779926,1/12/25,14212
P0039801182,7/25/23,14220
P0039809812,12/13/21,14212
P0039839202,12/17/21,14220
P0039853815,10/7/24,14214
P0039866569,6/1/22,14006
P0039896911,1/3/22,14211
P0039920570,1/3/22,14228
P0039920606,1/3/22,14210
P0039924150,1/25/22,14211
P0039929122,3/9/22,14211
P0039961439,1/6/25,14212
P0040007000,1/20/22,14207
P0040020085,2/14/22,14215
P0040020161,1/22/22,14215
P0040041764,1/25/22,14225
P0040060590,9/18/23,14150
P0040114014,2/7/22,14220
P0040143048,2/12/22,14225
P0040151640,2/14/22,14213
P0040151775,2/14/22,14224
P0040164466,2/19/22,14204
P0040179178,2/19/22,14204
P0040227500,3/5/22,14206
P0040254956,3/5/22,14218
P0040274754,3/9/22,14204
P0040274759,3/9/22,14211
P0040274796,3/9/22,14226
P0040277812,4/18/22,14216
P0040379796,1/3/23,14206
P0040501926,4/20/22,14225
P0040507082,9/10/22,14220
P0040515337,1/12/25,14206
P0040544349,4/27/22,14001
P0040558165,6/13/22,14224
P0040573990,5/3/22,14208
P0040593348,9/20/22,14206
P0040639384,6/13/22,14214
P0040651844,9/22/22,14224
P0040659595,6/13/22,14212
P0040660339,6/13/22,14219
P0040672373,5/21/22,14208
P0040759255,6/1/22,14211
P0040779512,11/12/24,14210
P0040786802,6/6/22,14210
P0040786822,6/6/22,14222
P0040786841,6/6/22,14304
P0040786866,6/6/22,14303
P0040786884,6/6/22,14221
P0040786971,6/6/22,14223
P0040786996,6/6/22,14219
P0040828560,6/13/22,14206
P0040828589,6/13/22,14081
P0040828776,6/13/22,14215
P0040828790,6/13/22,14225
P0040828823,6/13/22,14204
P0040828834,6/13/22,
P0040862473,6/18/22,14127
P0040918018,6/28/22,14211
P0040968595,9/20/22,14208
P0040998996,9/8/22,14215
P0041049421,9/8/22,14218
P0041050585,1/16/24,14206
P0041099402,9/8/22,14224
P0041105841,9/8/22,14213
P0041125237,9/10/22,14210
P0041139258,9/20/22,14213
P0041152077,11/4/24,14213
P0041160105,2/11/25,14214
P0041193760,9/10/22,14204
P0041232371,3/23/23,14218
P0041343045,9/20/22,14206
P0041344273,9/8/22,14201
P0041344287,9/8/22,14210
P0041344821,9/8/22,14212
P0041344838,9/8/22,14206
P0041345336,9/8/22,14207
P0041345599,9/8/22,14210
P0041347031,3/30/23,14304
P0041355475,9/20/22,14214
P0041357680,9/10/22,14075
P0041357721,9/10/22,14204
P0041357748,9/10/22,14150
P0041357957,9/10/22,14220
P0041385930,11/12/24,14208
P0041414435,9/20/22,14224
P0041414475,9/20/22,14225
P0041415957,1/16/24,14215
P0041428196,2/9/23,14220
P0041428221,2/9/23,14220
P0041451738,9/29/22,14211
P0041460993,11/7/22,14213
P0041500325,11/12/24,14218
P0041506893,2/9/23,14006
P0041519823,2/20/23,14210
P0041535734,2/9/23,14218
P0041553027,11/4/24,14211
P0041573157,2/9/23,14225
P0041592115,2/21/23,14127
P0041612337,10/24/22,14213
P0041625785,2/20/23,14213
P0041634051,3/23/23,14207
P0041642941,7/20/23,14208
P0041648403,2/21/23,14206
P0041651857,10/31/22,14222
P0041681383,9/20/24,14219
P0041736261,2/20/23,14218
P0041770175,1/16/24,14227
P0041772974,2/9/23,14211
P0041776366,11/22/22,14213
P0041801864,2/20/23,14220
P0041803135,2/20/23,14201
P0041815333,2/20/23,14301
P0041840484,2/21/23,14222
P0041845178,2/9/23,14219
P0041848316,12/6/22,14203
P0041849449,11/5/24,14206
P0041872212,2/9/23,14201
P0041906915,2/9/23,14212
P0041908120,2/9/23,14215
P0041910025,9/26/24,14086
P0041921252,12/17/24,14201
P0041938951,2/9/23,14210
P0041963525,2/9/23,14211
P0041990118,1/3/23,14224
P0042012249,2/9/23,14216
P0042047690,2/21/23,14218
P0042086013,4/22/25,14213
P0042087166,12/4/24,14201
P0042088895,2/21/23,14207
P0042091141,2/21/23,14224
P0042094662,2/20/23,14220
P0042116963,2/21/23,14212
P0042122913,11/12/24,14206
P0042129270,11/11/24,14225
P0042160777,2/2/23,14204
P0042171159,3/23/23,14215
P0042182905,11/3/24,14219
P0042201458,2/9/23,14210
P0042202271,2/9/23,
P0042202538,2/9/23,14213
P0042222563,11/12/24,14086
P0042231910,3/30/23,14215
P0042263442,3/23/23,14215
P0042264311,2/21/23,14212
P0042264523,2/21/23,14201
P0042264638,2/21/23,14220
P0042264908,2/21/23,14213
P0042264961,2/21/23,14210
P0042265006,2/21/23,14224
P0042301278,3/30/23,14094
P0042303606,11/3/24,14006
P0042318141,3/13/23,14210
P0042318199,11/11/24,14212
P0042320331,11/3/24,14227
P0042350500,3/30/23,14211
P0042422552,3/22/23,14206
P0042430644,3/23/23,14209
P0042430668,3/23/23,14206
P0042430707,3/23/23,14224
P0042430954,3/23/23,14223
P0042431175,3/23/23,14224
P0042431201,3/23/23,14224
P0042436099,3/25/25,14214
P0042461881,1/16/24,14215
P0042465053,3/30/23,14150
P0042468028,3/30/23,14127
P0042468169,3/30/23,14201
P0042487335,4/3/23,14213
P0042575939,6/30/23,14215
P0042582110,11/4/24,14219
P0042633303,10/6/24,14215
P0042674410,1/16/24,14213
P0042707992,10/16/23,14204
P0042731390,5/19/23,14201
P0042742453,8/24/23,14206
P0042748867,10/16/23,14216
P0042797395,5/31/23,14212
P0042876201,7/20/23,14211
P0042956975,6/28/23,14215
P0042957250,6/28/23,14210
P0043479029,9/15/23,14211
P0043530959,9/15/23,14224
P0043564939,7/17/23,14211
P0043568940,7/18/23,14225
P0043583594,7/20/23,14201
P0043583690,7/20/23,14224
P0043603537,1/31/24,14225
P0043603683,7/24/23,14215
P0043603875,7/24/23,14043
P0043603899,7/24/23,14210
P0043603933,7/24/23,14206
P0043604013,7/24/23,14215
P0043604147,7/24/23,14213
P0043604813,1/12/24,14150
P0043608608,7/25/23,14213
P0043622464,7/27/23,14214
P0043625962,7/28/23,14201
P0043630593,1/16/24,14214
P0043633569,7/29/23,14210
P0043641095,7/31/23,14220
P0043647306,8/24/23,14207
P0043735804,3/4/25,14218
P0043765731,8/23/23,14207
P0043766170,8/23/23,14150
P0043771149,8/24/23,14210
P0043771224,8/24/23,14215
P0043771235,8/24/23,14214
P0043771768,8/24/23,14209
P0043771991,8/24/23,14213
P0043772035,8/24/23,14065
P0043772113,8/24/23,14210
P0043779502,11/12/24,14206
P0043798296,9/15/23,14225
P0043844991,1/9/24,14207
P0043849109,9/8/23,14075
P0043880581,9/14/23,14213
P0043885088,11/30/23,14075
P0043886122,9/15/23,14215
P0043886211,9/15/23,14219
P0043886646,9/15/23,14218
P0043898926,9/18/23,14213
P0043898964,9/18/23,14150
P0043899087,9/18/23,14213
P0043915433,9/21/23,14201
P0043915500,9/21/23,14211
P0043921442,9/22/23,14150
P0043921679,10/16/23,14211
P0044269121,9/25/23,14075
P0044307606,10/3/23,14213
P0044319161,10/5/23,14210
P0044339327,10/16/23,14206
P0044339540,11/11/24,14043
P0044341676,10/16/23,14224
P0044355173,10/12/23,14211
P0044355190,10/12/23,14221
P0044355215,10/12/23,14213
P0044355229,10/12/23,14215
P0044355291,10/12/23,14207
P0044355300,10/12/23,14220
P0044376163,10/16/23,14210
P0044376199,10/16/23,14739
P0044376226,10/16/23,14208
P0044376232,10/16/23,14228
P0044376243,10/16/23,14207
P0044377855,10/16/23,14051
P0044377969,10/16/23,14218
P0044377985,10/16/23,14218
P0044378704,10/16/23,14225
P0044378746,10/16/23,14209
P0044393436,10/19/23,14209
P0044404289,10/7/24,14218
P0044429771,10/26/23,14212
P0044460349,11/6/23,14220
P0044487112,11/6/23,14210
P0044571441,11/12/24,14218
P0044588400,11/3/24,14218
P0044665920,4/15/25,14214
P0044675948,12/14/23,14204
P0044676065,11/12/24,14225
P0044676190,12/28/24,14219
P0044697862,1/16/24,14207
P0044712747,12/21/23,14212
P0044719126,12/22/23,14215
P0044719141,12/22/23,14207
P0044719169,12/22/23,14214
P0044719231,12/22/23,14301
P0044719738,12/22/23,14304
P0044730554,1/16/24,14210
P0044752250,12/4/24,14214
P0044757119,1/5/24,14211
P0044782998,11/12/24,14206
P0044795690,1/8/24,14201
P0044799281,1/9/24,14212
P0044799443,1/9/24,14201
P0044799530,1/9/24,14006
P0044799568,1/9/24,14227
P0044830377,1/16/24,14204
P0044830441,1/16/24,14207
P0044830710,1/16/24,14225
P0044830723,1/16/24,14220
P0044830925,1/16/24,14207
P0044830979,1/16/24,14210
P0044831198,1/16/24,14206
P0044831582,1/16/24,14210
P0044831778,1/16/24,14204
P0044902429,2/9/24,14207
P0044912088,11/3/24,14213
P0044935844,2/8/24,14211
P0044949789,2/9/24,14081
P0044970473,2/13/24,14210
P0045110365,12/4/24,14201
P0045241539,11/11/24,14211
P0045245512,4/23/25,14223
P0045290948,11/11/24,14075
P0045297882,5/28/24,14204
P0045307400,3/7/24,14201
P0045311817,3/8/24,14043
P0045332676,11/12/24,14052
P0045335858,3/13/24,14210
P0045337239,11/11/24,14214
P0045387176,1/12/25,14207
P0045399124,3/26/24,14204
P0045409295,3/27/24,14213
P0045509053,4/18/24,14201
P0045511306,11/12/24,14211
P0045548991,5/16/24,14213
P0045573480,11/10/24,14220
P0045580760,1/12/25,14211
P0045601091,5/7/24,14212
P0045601935,11/12/24,14217
P0045657513,1/30/25,14207
P0045711902,5/30/24,14201
P0045718673,10/6/24,14226
P0045731105,6/3/24,14213
P0045742306,6/5/24,14212
P0045858060,1/12/25,14211
P0045901963,7/1/24,14006
P0045907174,7/2/24,14210
P0045913499,7/8/24,14212
P0045950246,1/12/25,14212
P0045981607,7/17/24,14201
P0045992914,11/4/24,14216
P0046042892,7/29/24,14211
P0046057663,8/1/24,14201
P0046088126,8/7/24,14212
P0046101659,8/9/24,14208
P0046137422,8/16/24,14211
P0046186689,8/26/24,14213
P0046186712,11/5/24,14210
P0046192535,8/27/24,14215
P0046201636,8/29/24,14203
P0046204071,11/10/24,14216
P0046209411,2/24/25,14218
P0046229117,9/4/24,14201
P0046301089,1/12/25,14211
P0046317154,9/12/24,14204
P0046319870,9/12/24,14214
P0046340969,9/17/24,14220
P0046352090,9/19/24,14215
P0046371181,9/23/24,14216
P0046377584,9/24/24,14211
P0046381882,10/6/24,14210
P0046393599,9/27/24,14211
P0046393687,9/27/24,14212
P0046407601,9/30/24,14216
P0046419929,10/2/24,14120
P0046429869,10/4/24,14201
P0046443026,10/6/24,14219
P0046443184,10/6/24,14206
P0046443921,10/6/24,14216
P0046443930,10/6/24,14207
P0046443944,10/6/24,14223
P0046443955,10/6/24,14215
P0046443982,10/6/24,14211
P0046449303,10/7/24,14305
P0046449310,10/7/24,14304
P0046449363,10/7/24,14216
P0046449379,10/7/24,14214
P0046452567,10/8/24,14207
P0046460008,10/29/24,14075
P0046466229,3/18/25,14206
P0046468720,10/11/24,14204
P0046496476,11/12/24,14215
P0046525982,10/22/24,14211
P0046526202,10/22/24,14219
P0046535239,10/23/24,14201
P0046535715,1/12/25,14141
P0046582894,11/4/24,14214
P0046591377,11/3/24,14215
P0046591473,11/3/24,14210
P0046591562,11/3/24,14213
P0046591696,11/3/24,14206
P0046591988,11/3/24,14080
P0046592061,11/3/24,14227
P0046592126,12/3/24,14227
P0046592192,11/3/24,14212
P0046592343,11/3/24,14220
P0046592413,11/3/24,14206
P0046592584,11/3/24,14209
P0046592624,11/3/24,14228
P0046592686,11/3/24,14043
P0046592763,11/3/24,14213
P0046592781,11/3/24,14217
P0046598247,11/4/24,14213
P0046598786,11/4/24,14208
P0046598838,11/4/24,14224
P0046598887,11/4/24,14043
P0046598907,11/4/24,14215
P0046598972,11/4/24,14215
P0046599007,11/4/24,14304
P0046599032,11/4/24,14225
P0046599060,11/4/24,14206
P0046599072,11/4/24,14025
P0046599082,11/4/24,14226
P0046599155,11/4/24,14225
P0046599163,11/4/24,14225
P0046599177,11/4/24,14225
P0046599182,11/4/24,14210
P0046604437,11/5/24,14120
P0046604460,11/5/24,14211
P0046604479,11/5/24,14215
P0046604488,11/5/24,14212
P0046604499,11/5/24,14218
P0046604517,11/5/24,14127
P0046604523,11/5/24,14221
P0046604532,11/5/24,14212
P0046604541,11/5/24,14075
P0046604564,11/5/24,14208
P0046604608,11/5/24,14075
P0046604618,11/5/24,14150
P0046604621,11/5/24,14207
P0046604635,11/5/24,14209
P0046629802,11/10/24,14215
P0046629868,11/10/24,14210
P0046629892,11/10/24,14006
P0046629933,11/10/24,14211
P0046630028,11/10/24,14207
P0046630183,11/10/24,14150
P0046630270,11/10/24,14070
P0046630316,11/10/24,14206
P0046631151,11/11/24,14701
P0046631152,11/11/24,14305
P0046631153,11/11/24,14052
P0046631155,11/11/24,14150
P0046631156,11/11/24,14218
P0046631158,11/11/24,14228
P0046631159,11/11/24,14210
P0046631164,11/11/24,14220
P0046631167,11/11/24,14209
P0046631173,11/11/24,14075
P0046631177,11/11/24,14211
P0046631180,11/11/24,14213
P0046631182,11/11/24,14224
P0046631184,11/11/24,14222
P0046631186,11/11/24,14127
P0046633877,11/11/24,14043
P0046634002,11/11/24,14530
P0046634075,11/11/24,14223
P0046634106,11/11/24,14203
P0046634162,11/11/24,14211
P0046634179,11/11/24,14211
P0046634221,11/11/24,14212
P0046634323,11/11/24,14224
P0046634334,11/11/24,14059
P0046634355,11/11/24,14201
P0046634374,11/11/24,14211
P0046634626,11/11/24,14150
P0046634669,11/11/24,14225
P0046634732,11/11/24,14227
P0046634758,11/11/24,14213
P0046634765,11/11/24,14207
P0046634791,11/11/24,14215
P0046634799,11/11/24,14215
P0046635310,11/12/24,14043
P0046635331,11/12/24,14215
P0046635371,11/12/24,14210
P0046635397,11/12/24,14215
P0046635428,11/12/24,14206
P0046635456,11/12/24,14075
P0046635480,11/12/24,14006
P0046635512,11/12/24,14218
P0046635575,11/12/24,14043
P0046635602,11/12/24,14224
P0046635615,11/12/24,14031
P0046635645,11/12/24,14209
P0046635674,11/12/24,14150
P0046635728,11/12/24,14214
P0046635870,11/12/24,14206
P0046635883,11/12/24,14086
P0046636407,11/12/24,14207
P0046636437,11/12/24,14223
P0046636614,11/12/24,14218
P0046636761,11/12/24,14213
P0046636883,11/12/24,14211
P0046637006,11/12/24,14218
P0046637081,11/12/24,14006
P0046637150,11/12/24,14210
P0046637214,11/12/24,14204
P0046637383,11/12/24,14009
P0046637455,11/12/24,14207
P0046637493,11/12/24,14222
P0046637570,11/12/24,14212
P0046637759,11/12/24,14207
P0046701649,1/7/25,14210
P0046718154,12/16/24,14206
P0046744604,12/3/24,14212
P0046745274,12/3/24,14210
P0046746027,12/3/24,14206
P0046749194,12/4/24,14221
P0046749272,12/4/24,14214
P0046749484,12/4/24,14213
P0046749542,12/4/24,14204
P0046749594,12/4/24,14206
P0046749618,12/4/24,14206
P0046749654,12/4/24,14059
P0046749849,12/4/24,14211
P0046750040,12/4/24,14227
P0046839235,1/6/25,14218
P0046861196,1/7/25,14210
P0046861561,1/7/25,14225
P0046883774,12/28/24,14203
P0046883878,12/28/24,14211
P0046883986,12/28/24,14221
P0046884056,12/28/24,14206
P0046884112,12/28/24,14004
P0046884332,12/28/24,14225
P0046884492,12/28/24,14075
P0046884554,12/28/24,14075
P0046884628,12/28/24,14206
P0046884712,12/28/24,14085
P0046884804,12/28/24,14201
P0046893195,12/30/24,14208
P0046893389,12/30/24,14027
P0046893537,1/7/25,14224
P0046904466,1/12/25,14218
P0046927240,1/6/25,14210
P0046935308,1/7/25,14228
P0046935987,1/7/25,14025
P0046939571,1/8/25,14215
P0046945556,1/9/25,14224
P0046962567,1/12/25,14206
P0046962577,1/12/25,14228
P0046962600,1/12/25,14211
P0046962622,1/12/25,14201
P0046962654,1/12/25,14207
P0046962682,1/12/25,14208
P0046962695,1/12/25,14227
P0046962749,1/12/25,14206
P0046962765,1/12/25,14006
P0046962780,1/12/25,14220
P0046962835,1/12/25,14043
P0046962865,1/12/25,14212
P0046962900,1/12/25,14219
P0046963632,1/12/25,14201
P0046963660,1/12/25,14215
P0046963686,1/12/25,14225
P0046963725,1/12/25,14206
P0046963857,1/12/25,14225
P0046963899,1/12/25,14304
P0046964000,1/12/25,14227
P0046964109,1/12/25,14210
P0046964494,1/12/25,14209
P0046964509,1/12/25,14215
P0046964509,1/12/25,14215
P0046964577,1/12/25,14211
P0046965134,1/12/25,14214
P0046965144,1/12/25,14213
P0046965175,1/12/25,14042
P0046965182,1/12/25,14001
P0046965191,1/12/25,14211
P0046965197,1/12/25,14223
P0046974097,1/14/25,14225
P0046975090,1/14/25,14215
P0046975453,1/14/25,14207
P0046990390,1/16/25,14227
P0047007785,4/22/25,14213
P0047048089,3/18/25,14211
P0047056640,1/28/25,14215
P0047075868,1/31/25,14211
P0047075917,1/31/25,14201
P0047092105,2/3/25,14213
P0047096356,2/4/25,14218
P0047098326,2/4/25,14227
P0047099528,2/4/25,14210
P0047115581,2/7/25,14213
P0047133092,2/11/25,14210
P0047133860,2/11/25,14201
P0047133974,2/11/25,14218
P0047134111,2/11/25,14204
P0047140828,3/18/25,14075
P0047167011,2/18/25,14210
P0047167468,2/18/25,14127
P0047167782,2/18/25,14214
P0047167888,2/18/25,14211
P0047195448,2/24/25,14207
P0047219155,2/28/25,14210
P0047230126,3/3/25,14212
P0047270666,3/11/25,14025
P0047270869,3/11/25,14210
P0047270976,3/11/25,14215
P0047271477,3/11/25,14211
P0047271824,3/11/25,14217
P0047272160,3/11/25,14211
P0047304182,3/18/25,14206
P0047304787,3/18/25,14208
P0047304838,3/18/25,14206
P0047321526,3/21/25,14220
P0047338424,3/25/25,14211
P0047339029,3/25/25,14213
P0047339573,3/25/25,14209
P0047339669,3/25/25,14215
P0047439671,4/4/25,14211
P0047491157,4/15/25,14210
P0047491596,4/15/25,14225
P0047522163,4/22/25,14206
P0047522713,4/22/25,14086
P0047523223,4/22/25,14206
P0047556402,4/29/25,14215
P0047556509,4/29/25,14086
P0047596842,5/7/25,14220
P0047624134,5/13/25,14075
P0047624624,5/13/25,14209
P0047625099,5/13/25,14210
P0047625250,5/13/25,14228